Date,ComponentA_flow_kgH,ComponentB_flow_kgH,Coolant_temperature_C,Reactor_outlet_temperature_C,Reactor_hotspot_temperature_C,   Yield_percent,Product_flow_tonsperday
02.12.13,35970,1996,265,269,339,92.1,59.1
03.12.13,35629,2256,265,268,349,92.9,67.4
04.12.13,35699,2483,268,268,350,92.6,73.9
05.12.13,35451,2728,267,267,365,93.5,82.0
06.12.13,35604,2920,268,268,372,92.8,87.1
09.12.13,37232,3507,269,269,390,92.2,104.0
10.12.13,37177,3591,269,268,404,93.5,107.9
11.12.13,37263,3619,269,269,402,93.5,108.8
12.12.13,37350,3638,269,269,400,93.5,109.3
13.12.13,37170,3630,269,269,398,93.0,108.5